topic,cite_key,title,year,venue,url,first_citation_location,first_citation_section
Hard-constrained prediction: Lagrangian and primal-dual training,hounie2023resilient,Resilient constrained learning,2023,Advances in Neural Information Processing Systems,,Sections/Part1.tex:101,Lagrangian-Based Training
Hard-constrained prediction: Lagrangian and primal-dual training,gallego2024constrained,Constrained optimization for machine learning: algorithms and applications,2024,PhD thesis,https://hdl.handle.net/1866/33886,Sections/Part1.tex:101,Lagrangian-Based Training
Constrained generative models: training and fine-tuning,khalafi2024constrained,Constrained diffusion models via dual training,2024,Advances in Neural Information Processing Systems,,Sections/Part2.tex:207,Training/Fine-tuning
Hard-constrained prediction: Lagrangian and primal-dual training,boero2025cole,AL-CoLe: Augmented Lagrangian for Constrained Learning,2025,arXiv preprint arXiv:2510.20995,https://arxiv.org/pdf/2510.20995,Sections/Part1.tex:101,Lagrangian-Based Training
Hard-constrained prediction: Lagrangian and primal-dual training,zhang2025alignment,Alignment of large language models with constrained learning,2025,arXiv preprint arXiv:2505.19387,https://arxiv.org/pdf/2505.19387,Sections/Part1.tex:101,Lagrangian-Based Training
Hard-constrained prediction: Lagrangian and primal-dual training,manolache2025learning,Learning (approximately) equivariant networks via constrained optimization,2025,arXiv preprint arXiv:2505.13631,https://arxiv.org/pdf/2505.13631,Sections/Part1.tex:101,Lagrangian-Based Training
Hard-constrained prediction: Lagrangian and primal-dual training,owerko2025learning,Learning Optimal Power Flow with Pointwise Constraints,2025,arXiv preprint arXiv:2510.20777,https://arxiv.org/pdf/2510.20777,Sections/Part1.tex:101,Lagrangian-Based Training
Hard-constrained prediction: Lagrangian and primal-dual training,barthakur2025learning,Learning with Statistical Equality Constraints,2025,arXiv preprint arXiv:2511.14320,https://arxiv.org/pdf/2511.14320,Sections/Part1.tex:103,Lagrangian-Based Training
Hard-constrained prediction: Lagrangian and primal-dual training,elenter2024near,Near-Optimal Solutions of Constrained Learning Problems,2024,The Twelfth International Conference on Learning Representations,https://openreview.net/forum?id=fDaLmkdSKU,Sections/Part1.tex:103,Lagrangian-Based Training
Hard-constrained prediction: Lagrangian and primal-dual training,zhang2021learning,Learning to solve the AC optimal power flow via a lagrangian approach,2022,arXiv preprint arXiv:2110.01653,https://arxiv.org/pdf/2110.01653,Sections/Part1.tex:105,Lagrangian-Based Training
Hard-constrained prediction: Lagrangian and primal-dual training,kotary2024learning,Learning constrained optimization with deep augmented lagrangian methods,2024,arXiv preprint arXiv:2403.03454,https://arxiv.org/pdf/2403.03454,Sections/Part1.tex:105,Lagrangian-Based Training
Hard-constrained prediction: Lagrangian and primal-dual training,kim2023self,Self-supervised equality embedded deep lagrange dual for approximate constrained optimization,2023,arXiv preprint arXiv:2306.06674,https://arxiv.org/pdf/2306.06674,Sections/Part1.tex:105,Lagrangian-Based Training
Hard-constrained prediction: Lagrangian and primal-dual training,park2024self,Self-supervised learning for large-scale preventive security constrained dc optimal power flow,2024,IEEE Transactions on Power Systems,,Sections/Part1.tex:105,Lagrangian-Based Training
Hard-constrained prediction: Lagrangian and primal-dual training,hadou2026unrolled,Unrolled Neural Networks for Constrained Optimization,2026,arXiv preprint arXiv:2601.17274,https://arxiv.org/pdf/2601.17274,Sections/Part1.tex:105,Lagrangian-Based Training
Hard-constrained prediction: provable guarantees and verification,tjeng2017evaluating,Evaluating robustness of neural networks with mixed integer programming,2017,arXiv preprint arXiv:1711.07356,https://arxiv.org/pdf/1711.07356,Sections/Part1.tex:109,Provable Training and Editing
Hard-constrained prediction: provable guarantees and verification,xiao2018training,Training for faster adversarial robustness verification via inducing relu stability,2018,arXiv preprint arXiv:1809.03008,https://arxiv.org/pdf/1809.03008,Sections/Part1.tex:109,Provable Training and Editing
Hard-constrained prediction: provable guarantees and verification,venzke2020learning,Learning optimal power flow: Worst-case guarantees for neural networks,2020,"2020 IEEE International Conference on Communications, Control, and Computing Technologies for Smart Grids (SmartGridComm)",,Sections/Part1.tex:109,Provable Training and Editing
Hard-constrained prediction: provable guarantees and verification,venzke2020verification,Verification of neural network behaviour: Formal guarantees for power system applications,2020,IEEE Transactions on Smart Grid,,Sections/Part1.tex:109,Provable Training and Editing
Hard-constrained prediction: provable guarantees and verification,dvijotham2016error,Error bounds on the DC power flow approximation: A convex relaxation approach,2016,2016 IEEE 55th Conference on Decision and Control (CDC),,Sections/Part1.tex:109,Provable Training and Editing
Hard-constrained prediction: provable guarantees and verification,qin2019verification,Verification of non-linear specifications for neural networks,2019,arXiv preprint arXiv:1902.09592,https://arxiv.org/pdf/1902.09592,Sections/Part1.tex:109,Provable Training and Editing
Hard-constrained prediction: provable guarantees and verification,wang2021beta,Beta-CROWN: Efficient bound propagation with per-neuron split constraints for complete and incomplete neural network verification,2021,Advances in Neural Information Processing Systems,,Sections/Part1.tex:109,Provable Training and Editing
Hard-constrained prediction: provable guarantees and verification,fazlyab2020safety,Safety verification and robustness analysis of neural networks via quadratic constraints and semidefinite programming,2020,IEEE Transactions on Automatic Control,,Sections/Part1.tex:109,Provable Training and Editing
Hard-constrained prediction: provable guarantees and verification,zhao2021ensuring,Ensuring DNN solution feasibility for optimization problems with convex constraints and its application to DC optimal power flow problems,2021,arXiv preprint arXiv:2112.08091,https://arxiv.org/pdf/2112.08091,Sections/Part1.tex:111,Provable Training and Editing
Hard-constrained prediction: provable guarantees and verification,ul2022learning,Learning neural networks under input-output specifications,2022,2022 American Control Conference (ACC),,Sections/Part1.tex:111,Provable Training and Editing
Hard-constrained prediction: provable guarantees and verification,balestriero2023police,POLICE: Provably optimal linear constraint enforcement for deep neural networks,2023,"ICASSP 2023-2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,Sections/Part1.tex:111,Provable Training and Editing
Hard-constrained prediction: provable guarantees and verification,bouvier2024policed,POLICEd RL: Learning closed-loop robot control policies with provable satisfaction of hard constraints,2024,arXiv preprint arXiv:2403.13297,https://arxiv.org/pdf/2403.13297,Sections/Part1.tex:111,Provable Training and Editing
Hard-constrained prediction: provable guarantees and verification,ataei2025mpolice,mPOLICE: Provable Enforcement of Multi-Region Affine Constraints in Deep Neural Networks,2025,arXiv preprint arXiv:2502.02434,https://arxiv.org/pdf/2502.02434,Sections/Part1.tex:111,Provable Training and Editing
Hard-constrained prediction: provable guarantees and verification,chung2025provably,Provably-safe neural network training using hybrid zonotope reachability analysis,2025,2025 IEEE 64th Conference on Decision and Control (CDC),,Sections/Part1.tex:111,Provable Training and Editing
Hard-constrained prediction: provable guarantees and verification,sotoudeh2021provable,Provable repair of deep neural networks,2021,Proceedings of the 42nd ACM SIGPLAN international conference on programming language design and implementation,,Sections/Part1.tex:113,Provable Training and Editing
Hard-constrained prediction: provable guarantees and verification,tao2023architecture,Architecture-preserving provable repair of deep neural networks,2023,Proceedings of the ACM on Programming Languages,,Sections/Part1.tex:113,Provable Training and Editing
Hard-constrained prediction: provable guarantees and verification,tao2025provable,Provable Gradient Editing of Deep Neural Networks,2025,The Thirty-ninth Annual Conference on Neural Information Processing Systems,,Sections/Part1.tex:113,Provable Training and Editing
Hard-constrained prediction: post-processing and projection,baker2019learning,Learning warm-start points for AC optimal power flow,2019,2019 IEEE 29th International Workshop on Machine Learning for Signal Processing (MLSP),,Sections/Part1.tex:125,Warm-start approach
Hard-constrained prediction: post-processing and projection,sambharya2023end,End-to-end learning to warm-start for real-time quadratic optimization,2023,Learning for Dynamics and Control Conference,,Sections/Part1.tex:125,Warm-start approach
Other cited work,asadi2017alternative,An alternative softmax operator for reinforcement learning,2017,International Conference on Machine Learning,,Sections/Part1.tex:148,Basic Activation Layers
Other cited work,harder2023hard,Hard-constrained deep learning for climate downscaling,2023,Journal of Machine Learning Research,,Sections/Part1.tex:148,Basic Activation Layers
Other cited work,abadie1969generalization,Generalization of the Wolfe reduced gradient method to the case of nonlinear constraints,1969,Optimization,,Sections/Part1.tex:153,Equality Completion Layers
Applications: trajectory optimization and safe control,ding2023reduced,Reduced Policy Optimization for Continuous Control with Hard Constraints,2023,Thirty-seventh Conference on Neural Information Processing Systems,,Sections/Part1.tex:153,Equality Completion Layers
Hard-constrained prediction: structured feasibility layers,zeng2024qcqp,QCQP-Net: Reliably Learning Feasible Alternating Current Optimal Power Flow Solutions Under Constraints,2024,arXiv preprint arXiv:2401.06820,https://arxiv.org/pdf/2401.06820,Sections/Part1.tex:163,Implicit Optimization Layers
Hard-constrained prediction: structured feasibility layers,blondel2022efficient,Efficient and modular implicit differentiation,2022,Advances in neural information processing systems,,Sections/Part1.tex:163,Implicit Optimization Layers
Hard-constrained prediction: structured feasibility layers,bolte2023one,One-step differentiation of iterative algorithms,2023,Advances in Neural Information Processing Systems,,Sections/Part1.tex:163,Implicit Optimization Layers
Hard-constrained prediction: structured feasibility layers,sun2022alternating,Alternating differentiation for optimization layers,2022,arXiv preprint arXiv:2210.01802,https://arxiv.org/pdf/2210.01802,Sections/Part1.tex:163,Implicit Optimization Layers
Hard-constrained prediction: structured feasibility layers,wu2025constraint,Constraint boundary wandering framework: Enhancing constrained optimization with deep neural networks,2025,IEEE Transactions on Pattern Analysis and Machine Intelligence,,Sections/Part1.tex:165,Implicit Optimization Layers
Hard-constrained prediction: structured feasibility layers,chalapathi2024scaling,Scaling physics-informed hard constraints with mixture-of-experts,2024,The Twelfth International Conference on Learning Representations,https://openreview.net/forum?id=u3dX2CEIZb,Sections/Part1.tex:165,Implicit Optimization Layers
Hard-constrained prediction: structured feasibility layers,nguyen2025fsnet,FSNet: Feasibility-Seeking Neural Network for Constrained Optimization with Guarantees,2025,The Thirty-ninth Annual Conference on Neural Information Processing Systems,https://openreview.net/forum?id=oum1txoy1D,Sections/Part1.tex:165,Implicit Optimization Layers
Hard-constrained prediction: structured feasibility layers,zhu2025t,T-SKM-Net: Trainable Neural Network Framework for Linear Constraint Satisfaction via Sampling Kaczmarz-Motzkin Method,2025,arXiv preprint arXiv:2512.10461,https://arxiv.org/pdf/2512.10461,Sections/Part1.tex:165,Implicit Optimization Layers
Hard-constrained prediction: structured feasibility layers,zeng2024glinsat,GLinSAT: The general linear satisfiability neural network layer by accelerated gradient descent,2024,Advances in Neural Information Processing Systems,,Sections/Part1.tex:165,Implicit Optimization Layers
Hard-constrained prediction: structured feasibility layers,lastrucci2025enforce,ENFORCE: Nonlinear constrained learning with adaptive-depth neural projection,2025,arXiv preprint arXiv:2502.06774,https://arxiv.org/pdf/2502.06774,Sections/Part1.tex:165,Implicit Optimization Layers
Hard-constrained prediction: structured feasibility layers,grontas2025pinet,Pinet: Optimizing hard-constrained neural networks with orthogonal projection layers,2026,The Fourteenth International Conference on Learning Representations,https://openreview.net/forum?id=EJ680UQeZG,Sections/Part1.tex:165,Implicit Optimization Layers
Hard-constrained prediction: structured feasibility layers,chu2026snarenet,SnareNet: Flexible Repair Layers for Neural Networks with Hard Constraints,2026,arXiv preprint arXiv:2602.09317,https://arxiv.org/pdf/2602.09317,Sections/Part1.tex:170,Optimization-Based Feasibility Layers
Hard-constrained prediction: structured feasibility layers,tang2024learning,Learning to optimize for mixed-integer non-linear programming with feasibility guarantees,2024,arXiv preprint arXiv:2410.11061,https://arxiv.org/pdf/2410.11061,Sections/Part1.tex:165,Implicit Optimization Layers
Hard-constrained prediction: structured feasibility layers,rashwan2025enforcing,Enforcing convex constraints in Graph Neural Networks,2025,arXiv preprint arXiv:2510.11227,https://arxiv.org/pdf/2510.11227,Sections/Part1.tex:165,Implicit Optimization Layers
Hard-constrained prediction: structured feasibility layers,utkarsh2025end,End-to-end probabilistic framework for learning with hard constraints,2025,arXiv preprint arXiv:2506.07003,https://arxiv.org/pdf/2506.07003,Sections/Part1.tex:165,Implicit Optimization Layers
Hard-constrained prediction: structured feasibility layers,heaton2021feasibility,Feasibility-based fixed point networks,2021,Fixed Point Theory and Algorithms for Sciences and Engineering,,Sections/Part1.tex:165,Implicit Optimization Layers
Hard-constrained prediction: structured feasibility layers,heaton2022wasserstein,Wasserstein-Based Projections with Applications to Inverse Problems,2022,SIAM Journal on Mathematics of Data Science,,Sections/Part1.tex:165,Implicit Optimization Layers
Hard-constrained prediction: structured feasibility layers,blanchini2008set,Set-theoretic methods in control,2008,Springer,,Sections/Part1.tex:176,Explicit Feasibility Layers
Hard-constrained prediction: structured feasibility layers,klamkin2024dual,Dual interior point optimization learning,2024,arXiv preprint arXiv:2402.02596,https://arxiv.org/pdf/2402.02596,Sections/Part1.tex:176,Explicit Feasibility Layers
Hard-constrained prediction: structured feasibility layers,konstantinov2023new,A new computationally simple approach for implementing neural networks with output hard constraints,2023,Doklady Mathematics,,Sections/Part1.tex:176,Explicit Feasibility Layers
Hard-constrained prediction: post-processing and projection,liang2024bis,Efficient Bisection Projection to Ensure Neural-Network Solution Feasibility for Optimization over General Set,2025,Proceedings of the Forty-second International Conference on Machine Learning,,Sections/Part1.tex:127,Projection-Analogous Correction
Hard-constrained prediction: feasible-set parameterization,schneider2026soft,Soft-Radial Projection for Constrained End-to-End Learning,2026,arXiv preprint arXiv:2602.03461,https://arxiv.org/pdf/2602.03461,Sections/Part1.tex:229,Constraint Homeomorphism
Preliminaries: neural networks and model foundations,min2024hardnet,Hardnet: Hard-constrained neural networks with universal approximation guarantees,2024,arXiv preprint arXiv:2410.10807,https://arxiv.org/pdf/2410.10807,Sections/Part1.tex:176,Explicit Feasibility Layers
Hard-constrained prediction: feasible-set parameterization,zheng2021safe,Safe reinforcement learning of control-affine systems with vertex networks,2021,Learning for Dynamics and Control,,Sections/Part1.tex:192,Constraint Representation
Hard-constrained prediction: feasible-set parameterization,karalias2025geometric,Geometric Algorithms for Neural Combinatorial Optimization with Constraints,2025,The Thirty-ninth Annual Conference on Neural Information Processing Systems,https://openreview.net/forum?id=EPDLFWyNnF,Sections/Part1.tex:192,Constraint Representation
Hard-constrained prediction: feasible-set parameterization,tabas2022computationally,Computationally efficient safe reinforcement learning for power systems,2022,2022 American Control Conference (ACC),,Sections/Part1.tex:201,Constraint Homeomorphism
Hard-constrained prediction: feasible-set parameterization,li2023learning,Learning to solve optimization problems with hard linear constraints,2023,IEEE Access,,Sections/Part1.tex:201,Constraint Homeomorphism
Hard-constrained prediction: feasible-set parameterization,liu2025fast,Fast Projection-Free Approach (without Optimization Oracle) for Optimization over Compact Convex Set,2025,The Thirty-ninth Annual Conference on Neural Information Processing Systems,,Sections/Part1.tex:201,Constraint Homeomorphism
Hard-constrained prediction: feasible-set parameterization,deng2025hop,HoP: Homeomorphic Polar Learning for Hard Constrained Optimization,2025,arXiv preprint arXiv:2502.00304,https://arxiv.org/pdf/2502.00304,Sections/Part1.tex:201,Constraint Homeomorphism
Preliminaries: neural networks and model foundations,ishikawa2022universal,Universal approximation property of invertible neural networks,2022,arXiv preprint arXiv:2204.07415,https://arxiv.org/pdf/2204.07415,Sections/Part1.tex:201,Constraint Homeomorphism
Hard-constrained prediction: post-processing and projection,chzhen2026improving,Improving Feasibility via Fast Autoencoder-Based Projections,2026,The Fourteenth International Conference on Learning Representations,https://openreview.net/forum?id=dVlkUtsyg7,Sections/Part1.tex:127,Projection-Analogous Correction
Constrained generative models: reflected or constrained-domain sampling,fishman2024metropolis,Metropolis sampling for constrained diffusion models,2024,Advances in Neural Information Processing Systems,,Sections/Part2.tex:31,Hard-Constrained Generative Models
Constrained generative models: feasible-set parameterization,li2026gauge,Gauge Flow Matching: Efficient Constrained Generative Modeling over General Convex Set and Beyond,2026,The Fourteenth International Conference on Learning Representations,https://openreview.net/forum?id=vxq1OnaAMq,Sections/Part2.tex:97,Constraint Parameterization
Constrained generative models: feasible-set parameterization,diederen2025flows,Flows on convex polytopes,2025,arXiv preprint arXiv:2503.10232,https://arxiv.org/pdf/2503.10232,Sections/Part2.tex:152,Constraint Parameterization
Preliminaries: generative/discriminative model foundations,williams2025simplex,Simplex-to-Euclidean Bijections for Categorical Flow Matching,2025,arXiv preprint arXiv:2510.27480,https://arxiv.org/pdf/2510.27480,Sections/Part2.tex:34,Hard-Constrained Generative Models
Preliminaries: generative/discriminative model foundations,eijkelboom2024variational,Variational flow matching for graph generation,2024,Advances in Neural Information Processing Systems,,Sections/Part2.tex:34,Hard-Constrained Generative Models
Preliminaries: generative/discriminative model foundations,davis2024fisher,Fisher flow matching for generative modeling over discrete data,2024,arXiv preprint arXiv:2405.14664,https://arxiv.org/pdf/2405.14664,Sections/Part2.tex:34,Hard-Constrained Generative Models
Constrained generative models: training and fine-tuning,li2024efficient,Efficient and Guaranteed-Safe Non-Convex Trajectory Optimization with Constrained Diffusion Model,2024,arXiv preprint arXiv:2403.05571,https://arxiv.org/pdf/2403.05571,Sections/Part2.tex:38,Hard-Constrained Generative Models
Applications: physics-constrained learning and generation,song2023solving,Solving inverse problems with latent diffusion models via hard data consistency,2023,arXiv preprint arXiv:2307.08123,https://arxiv.org/pdf/2307.08123,Sections/Part2.tex:39,Hard-Constrained Generative Models
Constrained generative models: training and fine-tuning,fan2023optimizing,Optimizing ddpm sampling with shortcut fine-tuning,2023,arXiv preprint arXiv:2301.13362,https://arxiv.org/pdf/2301.13362,Sections/Part2.tex:43,Hard-Constrained Generative Models
Constrained generative models: push-forward and explicit sample maps,song2023consistency,Consistency Models,2023,International Conference on Machine Learning,,Sections/Part2.tex:38,Push-Forward Generators
Constrained generative models: push-forward and explicit sample maps,frans2025one,One Step Diffusion via Shortcut Models,2025,The Thirteenth International Conference on Learning Representations,https://openreview.net/forum?id=OlzB6LnXcS,Sections/Part2.tex:38,Push-Forward Generators
Constrained generative models: push-forward and explicit sample maps,geng2025mean,Mean Flows for One-step Generative Modeling,2025,The Thirty-ninth Annual Conference on Neural Information Processing Systems,https://openreview.net/forum?id=uWj4s7rMnR,Sections/Part2.tex:38,Push-Forward Generators
Constrained generative models: autoregressive and sequence-level constraints,dathathri2019plug,Plug and play language models: A simple approach to controlled text generation,2019,arXiv preprint arXiv:1912.02164,https://arxiv.org/pdf/1912.02164,Sections/Part2.tex:60,Autoregressive Models
Constrained generative models: autoregressive and sequence-level constraints,anderson2017guided,Guided open vocabulary image captioning with constrained beam search,2017,Proceedings of the 2017 Conference on Empirical Methods in Natural Language Processing,,Sections/Part2.tex:60,Autoregressive Models
Constrained generative models: autoregressive and sequence-level constraints,post2018fast,Fast lexically constrained decoding with dynamic beam allocation for neural machine translation,2018,"Proceedings of the 2018 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long Papers)",,Sections/Part2.tex:60,Autoregressive Models
Constrained generative models: autoregressive and sequence-level constraints,geng2023grammar,Grammar-Constrained Decoding for Structured NLP Tasks without Finetuning,2023,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,https://arxiv.org/abs/2305.13971,Sections/Part2.tex:60,Autoregressive Models
Constrained generative models: autoregressive and sequence-level constraints,lu2020neurologic,NeuroLogic Decoding: (Un)supervised Neural Text Generation with Predicate Logic Constraints,2021,Proceedings of the 2021 Conference of the North American Chapter of the Association for Computational Linguistics,https://arxiv.org/abs/2010.12884,Sections/Part2.tex:60,Autoregressive Models
Constrained generative models: autoregressive and sequence-level constraints,miao2018cgmh,CGMH: Constrained Sentence Generation by Metropolis-Hastings Sampling,2019,Proceedings of the AAAI Conference on Artificial Intelligence,https://arxiv.org/abs/1811.10996,Sections/Part2.tex:60,Autoregressive Models
Constrained generative models: autoregressive and sequence-level constraints,kumar2022gradient,Gradient-Based Constrained Sampling from Language Models,2022,arXiv preprint arXiv:2205.12558,https://arxiv.org/abs/2205.12558,Sections/Part2.tex:60,Autoregressive Models
Related surveys and background,liang2024controllable,Controllable text generation for large language models: A survey,2024,arXiv preprint arXiv:2408.12599,https://arxiv.org/pdf/2408.12599,Sections/Part2.tex:79,Autoregressive Models
Applications: physics-constrained learning and generation,ramesh2022hierarchical,Hierarchical text-conditional image generation with clip latents,2022,arXiv preprint arXiv:2204.06125,https://arxiv.org/pdf/2204.06125,Sections/Part2.tex:87,Diffusion and Flow-Matching Models
Applications: physics-constrained learning and generation,betker2023improving,Improving image generation with better captions,2023,Computer Science. https://cdn. openai. com/papers/dall-e-3. pdf,,Sections/Part2.tex:87,Diffusion and Flow-Matching Models
Applications: physics-constrained learning and generation,sun2023difusco,DIFUSCO: Graph-based Diffusion Solvers for Combinatorial Optimization,2023,arXiv preprint arXiv:2302.08224,https://arxiv.org/pdf/2302.08224,Sections/Part2.tex:87,Diffusion and Flow-Matching Models
Applications: physics-constrained learning and generation,liang2023generative,Generative Learning for Solving Non-Convex Problem with Multi-Valued Input-Solution Mapping,2024,12th International Conference on Learning Representations (ICLR 2024),,Sections/Part2.tex:87,Diffusion and Flow-Matching Models
Applications: physics-constrained learning and generation,li2023t2t,T2t: From distribution learning in training to gradient search in testing for combinatorial optimization,2023,Advances in Neural Information Processing Systems,,Sections/Part2.tex:87,Diffusion and Flow-Matching Models
Applications: physics-constrained learning and generation,chi2023diffusion,Diffusion policy: Visuomotor policy learning via action diffusion,2023,The International Journal of Robotics Research,,Sections/Part2.tex:87,Diffusion and Flow-Matching Models
Constrained generative models: reflected or constrained-domain sampling,kook2024gaussian,Gaussian cooling and dikin walks: The interior-point method for logconcave sampling,2024,The Thirty Seventh Annual Conference on Learning Theory,,Sections/Part2.tex:106,Reflected Sampling
Constrained generative models: manifold and geometric modeling,urain2023se,Se (3)-diffusionfields: Learning smooth cost functions for joint grasp and motion optimization through diffusion,2023,2023 IEEE international conference on robotics and automation (ICRA),,Sections/Part2.tex:121,Manifold Modeling
Preliminaries: generative/discriminative model foundations,cheng2024categorical,Categorical flow matching on statistical manifolds,2024,Advances in Neural Information Processing Systems,,Sections/Part2.tex:129,Constraint Parameterization
Constrained generative models: feasible-set parameterization,roos2026categorical,Categorical Flow Maps,2026,arXiv preprint arXiv:2602.12233,https://arxiv.org/pdf/2602.12233,Sections/Part2.tex:152,Constraint Parameterization
Constrained generative models: guided generation and correction,chung2022improving,Improving diffusion models for inverse problems using manifold constraints,2022,Advances in Neural Information Processing Systems,,Sections/Part2.tex:177,Guided Generation
Constrained generative models: guided generation and correction,naderiparizi2025constrained,Constrained generative modeling with manually bridged diffusion models,2025,Proceedings of the AAAI Conference on Artificial Intelligence,,Sections/Part2.tex:174,Guided Generation
Constrained generative models: guided generation and correction,zampini2025trainingfree,Training-Free Constrained Generation With Stable Diffusion Models,2025,The Thirty-ninth Annual Conference on Neural Information Processing Systems,https://openreview.net/forum?id=TrNB08KuHK,Sections/Part2.tex:174,Guided Generation
Constrained generative models: guided generation and correction,cardei2025constrained,Constrained discrete diffusion,2025,arXiv preprint arXiv:2503.09790,https://arxiv.org/pdf/2503.09790,Sections/Part2.tex:174,Guided Generation
Constrained generative models: guided generation and correction,liu2023learning,Learning Diffusion Bridges on Constrained Domains,2023,The Eleventh International Conference on Learning Representations,https://openreview.net/forum?id=WH1yCa0TbB,Sections/Part2.tex:144,Barrier and Potential-Based Guidance.
Constrained generative models: guided generation and correction,narasimhan2025constrained,Constrained Posterior Sampling: Time Series Generation with Hard Constraints,2025,The Thirty-ninth Annual Conference on Neural Information Processing Systems,https://proceedings.neurips.cc/paper_files/paper/2025/file/9b01c4a7d3fc49875dad3c13848bcd9e-Paper-Conference.pdf,Sections/Part2.tex:115,Addressing the Fidelity--Feasibility Trade-off.
Constrained generative models: guided generation and correction,cheng2024gradient,Gradient-free generation for hard-constrained systems,2024,arXiv preprint arXiv:2412.01786,https://arxiv.org/pdf/2412.01786,Sections/Part2.tex:149,Addressing the Fidelity--Feasibility Trade-off.
Preliminaries: generative/discriminative model foundations,utkarsh2025physicsconstrained,Physics-Constrained Flow Matching: Sampling Generative Models with Hard Constraints,2025,The Thirty-ninth Annual Conference on Neural Information Processing Systems,https://openreview.net/forum?id=cf4etwjY7n,Sections/Part2.tex:149,Addressing the Fidelity--Feasibility Trade-off.
Constrained generative models: guided generation and correction,graikos2025fast,Fast constrained sampling in pre-trained diffusion models,2025,The Thirty-ninth Annual Conference on Neural Information Processing Systems,https://openreview.net/forum?id=3kVM0m60Q5,Sections/Part2.tex:156,Efficient Constrained Sampling.
Constrained generative models: guided generation and correction,jayaram2025linearly,Linearly Constrained Diffusion Implicit Models,2025,The Thirty-ninth Annual Conference on Neural Information Processing Systems,https://openreview.net/forum?id=TYGDG9zEML,Sections/Part2.tex:156,Efficient Constrained Sampling.
Constrained generative models: guided generation and correction,zhang2025improving,Improving Diffusion-based Inverse Algorithms under Few-Step Constraint via Linear Extrapolation,2025,The Thirty-ninth Annual Conference on Neural Information Processing Systems,https://openreview.net/forum?id=EGYwfs4XhI,Sections/Part2.tex:156,Efficient Constrained Sampling.
Constrained generative models: guided generation and correction,jeon2025fast,Fast Non-Log-Concave Sampling under Nonconvex Equality and Inequality Constraints with Landing,2025,arXiv preprint arXiv:2510.22044,https://arxiv.org/pdf/2510.22044,Sections/Part2.tex:156,Efficient Constrained Sampling.
Preliminaries: generative/discriminative model foundations,nordenhog2025score,Score-based constrained generative modeling via Langevin diffusions with boundary conditions,2025,arXiv preprint arXiv:2510.23985,https://arxiv.org/pdf/2510.23985,Sections/Part2.tex:156,Efficient Constrained Sampling.
Constrained generative models: guided generation and correction,luan2025projected,Projected Coupled Diffusion for Test-Time Constrained Joint Generation,2025,arXiv preprint arXiv:2508.10531,https://arxiv.org/pdf/2508.10531,Sections/Part2.tex:124,Efficient Constrained Sampling.
Other cited work,zhang2025a,A Gradient Guided Diffusion Framework for Chance Constrained Programming,2025,The Thirty-ninth Annual Conference on Neural Information Processing Systems,https://openreview.net/forum?id=Flntl1YwZg,Sections/Part2.tex:156,Efficient Constrained Sampling.
Constrained generative models: training and fine-tuning,khalafi2025composition,Composition and alignment of diffusion models using constrained learning,2025,The Thirty-ninth Annual Conference on Neural Information Processing Systems,https://proceedings.neurips.cc/paper_files/paper/2025/file/1af991de2d4c4e679bcc5d9e23ac6bae-Paper-Conference.pdf,Sections/Part2.tex:130,Training/Fine-tuning
Applications: trajectory optimization and safe control,liang2024multiagent,Multi-Agent Path Finding in Continuous Spaces with Projected Diffusion Models,2024,arXiv preprint arXiv:2412.17993,https://arxiv.org/pdf/2412.17993,Sections/3.Application.tex:27,Trajectory Optimization and Motion Planning
Constrained generative models: guided generation and correction,christopher2025constrained,Constrained Diffusion for Protein Design with Hard Structural Constraints,2025,arXiv preprint arXiv:2510.14989,https://arxiv.org/pdf/2510.14989,Sections/Part2.tex:109,Projection-Based Guidance.
Constrained generative models: reflected or constrained-domain sampling,jeon2026efficient,Efficient Diffusion Models under Nonconvex Equality and Inequality Constraints via Landing,2026,Proceedings of the 43rd International Conference on Machine Learning,https://arxiv.org/pdf/2604.17838,Sections/Part2.tex:124,Efficient Constrained Sampling.
Constrained generative models: training and fine-tuning,christopher2026constraintaware,Constraint-Aware Flow Matching: Decision Aligned End-to-End Training for Constrained Sampling,2026,arXiv preprint arXiv:2605.12754,https://arxiv.org/pdf/2605.12754,Sections/Part2.tex:130,Training/Fine-tuning
Applications: physics-constrained learning and generation,cui2026constrained,Constrained Diffusion for Accelerated Structure Relaxation of Inorganic Solids with Point Defects,2026,NeurIPS 2025 AI4Mat Workshop,https://arxiv.org/pdf/2602.19153,Sections/3.Application.tex:41,"Molecule, Material, and Protein Generation"
Constrained generative models: training and fine-tuning,uehara2024fine,Fine-tuning of continuous-time diffusion models as entropy-regularized control,2024,arXiv preprint arXiv:2402.15194,https://arxiv.org/pdf/2402.15194,Sections/Part2.tex:160,Training/Fine-tuning
Constrained generative models: training and fine-tuning,domingo2024adjoint,Adjoint matching: Fine-tuning flow and diffusion generative models with memoryless stochastic optimal control,2024,arXiv preprint arXiv:2409.08861,https://arxiv.org/pdf/2409.08861,Sections/Part2.tex:160,Training/Fine-tuning
